001 And David and the heads of the host separate for service, of the sons of Asaph, and Heman, and Jeduthun, who are prophesying with harps, with psalteries, and with cymbals, and the number of the workmen is according to their service.  
002 Of sons of Asaph: Zaccur, and Joseph, and Nethaniah, and Asharelah, sons of Asaph, `are' by the side of Asaph, who is prophesying by the side of the king. 
003 Of Jeduthun: sons of Jeduthun, Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, Shisshah, `are' by the side of their father Jeduthun; with a harp he is prophesying, for giving of thanks and of praise to Jehovah. 
004 Of Heman: sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamti-Ezer, Joshbekashah, Mallothi, Hothir, Mahazioth;  
005 all these `are' sons of Heman -- seer of the king in the things of God -- to lift up a horn; and God giveth to Heman fourteen sons and three daughters. 
006 All these `are' by the side of their father in the song of the house of Jehovah, with cymbals, psalteries, and harps, for the service of the house of God; by the side of the king `are' Asaph, and Jeduthun, and Heman. 
007 And their number, with their brethren -- taught in the song of Jehovah, all who are intelligent -- is two hundred, eighty and eight.  
008 And they cause to fall lots -- charge over-against `charge', as well the small as the great, the intelligent with the learner. 
009 And the first lot goeth out for Asaph to Joseph; `to' Gedaliah the second; he, and his brethren and his sons, twelve; 
010 the third `to' Zaccur, his sons and his brethren, twelve; 
011 the fourth to Izri, his sons and his brethren, twelve;  
012 the fifth `to' Nethaniah, his sons and his brethren, twelve; 
013 the sixth `to' Bukkiah, his sons and his brethren, twelve; 
014 the seventh `to' Jesharelah, his sons and his brethren, twelve; 
015 the eighth `to' Jeshaiah, his sons and his brethren, twelve; 
016 the ninth `to' Mattaniah, his sons and his brethren, twelve; 
017 the tenth `to' Shimei, his sons and his brethren, twelve: 
018 eleventh `to' Azareel, his sons and his brethren, twelve; 
019 the twelfth `to' Hashabiah, his sons and his brethren, twelve; 
020 at the thirteenth `to' Shubael, his sons and his brethren, twelve; 
021 at the fourteenth `to' Mattithiah, his sons and his brethren, twelve; 
022 at the fifteenth `to' Jeremoth, his sons and his brethren, twelve; 
023 at the sixteenth `to' Hananiah, his sons and his brethren, twelve; 
024 at the seventeenth `to' Joshbekashah, his sons and his brethren, twelve; 
025 at the eighteenth `to' Hanani, his sons and his brethren, twelve; 
026 at the nineteenth `to' Mallothi, his sons and his brethren, twelve; 
027 at the twentieth `to' Eliathah, his sons and his brethren, twelve; 
028 at the one and twentieth `to' Hothir, his sons and his brethren, twelve; 
029 at the two and twentieth `to' Giddalti, his sons and his brethren, twelve; 
030 at the three and twentieth `to' Mahazioth, his sons and his brethren, twelve; 
031 at the four and twentieth `to' Romamti-Ezer, his sons and his brethren, twelve. 
